w/c,a/c,slump ,c ,H% humidity ,air content ,v/s,t0,dt,kh ,Ks,KѰ,Kac,K(v/s),Kt0,ɣc,Øu=2.35*ɣc,fcm28,a,b,fcmt ,Ecmt0,"Ø(t,t0)",Jcreep (10-6/MPa),J creep(ACI),cc
0.56,6.46,75,2890,47.5,0,22,60,40,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.235513815,57,68,0.834481982
0.56,6.46,75,2890,47.5,0,22,60,161,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.754502167,83,84,0.986176026
0.56,6.46,75,2890,47.5,0,22,60,241,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.884824448,92,88,1.043729369
0.56,6.46,75,2890,47.5,0,22,60,300,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.949948225,96,90,1.065065472
0.56,6.46,75,2890,47.5,0,22,60,700,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.161963856,111,97,1.148908769
0.56,6.46,75,2890,47.5,0,22,60,900,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.212788489,112,98,1.140920422
0.56,6.46,75,2890,47.5,0,22,60,40,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.235513815,60,68,0.878402087
0.56,6.46,75,2890,47.5,0,22,60,100,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.585803437,78,79,0.987230492
0.56,6.46,75,2890,47.5,0,22,60,161,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.754502167,93,84,1.104992414
0.56,6.46,75,2890,47.5,0,22,60,241,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.884824448,102,88,1.157178213
0.56,6.46,75,2890,47.5,0,22,60,300,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.949948225,105,90,1.164915361
0.56,6.46,75,2890,47.5,0,22,60,400,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.029104285,112,93,1.210105581
0.56,6.46,75,2890,47.5,0,22,60,550,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.108105919,115,95,1.210936853
0.56,6.46,75,2890,47.5,0,22,60,700,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.161963856,120,97,1.242063534
0.56,6.46,75,2890,47.5,0,22,60,900,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.212788489,124,98,1.263161896
0.56,6.46,75,2890,100,0,22,60,40,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,0.778889718,39,54,0.717521714
0.56,6.46,75,2890,100,0,22,60,100,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,0.999718479,47,61,0.769216275
0.56,6.46,75,2890,100,0,22,60,242,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.189026908,51,67,0.762497708
0.56,6.46,75,2890,100,0,22,60,400,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.279183159,52,70,0.746695584
0.56,6.46,75,2890,100,0,22,60,549,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.328718749,53,71,0.744866249
0.56,6.46,75,2890,100,0,22,60,700,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.362940177,53,72,0.734078677
0.56,6.46,75,2890,100,0,22,60,900,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.394980923,53,73,0.724257961
0.56,6.46,75,2890,100,0,22,60,40,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,0.778889718,40,54,0.735919707
0.56,6.46,75,2890,100,0,22,60,100,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,0.999718479,43,61,0.70375106
0.56,6.46,75,2890,100,0,22,60,160,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.104738328,46,64,0.715285116
0.56,6.46,75,2890,100,0,22,60,242,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.189026908,50,67,0.747546773
0.56,6.46,75,2890,100,0,22,60,322,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.241987007,50,69,0.729888262
0.56,6.46,75,2890,100,0,22,60,400,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.279183159,51,70,0.732336054
0.56,6.46,75,2890,100,0,22,60,549,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.328718749,52,71,0.730812169
0.56,6.46,75,2890,100,0,22,60,700,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.362940177,52,72,0.720228136
0.56,6.46,75,2890,100,0,22,60,900,0.6,1.018,1,1,1.135934871,0.771059985,0.693829019,1.630498195,28,4,0.85,31,32728,1.394980923,54,73,0.737923206
0.56,6.46,75,2890,67.5,0,22,60,40,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.061561778,44,63,0.698515085
0.56,6.46,75,2890,67.5,0,22,60,82,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.298988266,55,70,0.782970503
0.56,6.46,75,2890,67.5,0,22,60,100,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.362532977,58,72,0.803469843
0.56,6.46,75,2890,67.5,0,22,60,160,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.505666279,64,77,0.835942127
0.56,6.46,75,2890,67.5,0,22,60,400,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.743420047,78,84,0.930511535
0.56,6.46,75,2890,67.5,0,22,60,552,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.812027743,83,86,0.966001849
0.56,6.46,75,2890,67.5,0,22,60,700,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.857573883,85,87,0.973511137
0.56,6.46,75,2890,67.5,0,22,60,900,0.81775,1.018,1,1,1.135934871,0.771059985,0.945631134,2.222233165,28,4,0.85,31,32728,1.901242749,87,89,0.981419428
0.56,6.46,75,2890,47.5,0,22,60,23,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.024744723,50,62,0.80820065
0.56,6.46,75,2890,47.5,0,22,60,40,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.235513815,64,68,0.936962226
0.56,6.46,75,2890,47.5,0,22,60,82,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.51184602,85,77,1.107504193
0.56,6.46,75,2890,47.5,0,22,60,120,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.652029131,104,81,1.283436882
0.56,6.46,75,2890,47.5,0,22,60,160,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.752391173,113,84,1.343654942
0.56,6.46,75,2890,47.5,0,22,60,240,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.883548232,120,88,1.361988663
0.56,6.46,75,2890,47.5,0,22,60,320,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,1.968345285,125,91,1.378208937
0.56,6.46,75,2890,47.5,0,22,60,400,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.029104285,129,93,1.39378232
0.56,6.46,75,2890,47.5,0,22,60,548,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.107253243,135,95,1.421924656
0.56,6.46,75,2890,47.5,0,22,60,700,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.161963856,140,97,1.449074122
0.56,6.46,75,2890,47.5,0,22,60,900,0.95175,1.018,1,1,1.135934871,0.771059985,1.100586282,2.586377762,28,4,0.85,31,32728,2.212788489,142,98,1.446524107
0.58,5.62,75,3460,99,0,34,28,5,0.6067,1.018,1,1,1.03122521,0.843617083,0.636905933,1.496728942,22,2.3,0.92,22,42873,0.311344516,60,31,1.961635535
0.58,5.62,75,3460,99,0,34,28,31,0.6067,1.018,1,1,1.03122521,0.843617083,0.636905933,1.496728942,22,2.3,0.92,22,42873,0.658180637,67,39,1.732314885
